rowNum,Duration(Sec),Start date,StartTime,StartLat,StartLon,EndLat,EndLon,Walk Time,Transit Time,Waiting Time,Num Transfers,AltBikeTime
8400,582,05/23/2012,7:09:00 PM,38.90572,-77.022264,38.9101,-77.0444,407,732,242,0,435
8500,231,05/23/2012,7:41:00 PM,38.9176,-77.0321,38.917761,-77.04062,169,156,242,0,173
8600,273,05/23/2012,8:18:00 PM,38.90985,-77.034438,38.91554,-77.03818,346,150,242,0,276
8700,372,05/23/2012,9:12:00 PM,38.8997,-77.023086,38.9059,-77.0325,402,384,242,0,295
8800,504,05/23/2012,10:36:00 PM,38.897324,-77.022322,38.9059,-77.0325,567,252,242,0,349
8900,410,05/24/2012,5:54:00 AM,38.9154,-77.0446,38.8952,-77.0436,127,504,524,1,495
9000,528,05/24/2012,7:06:00 AM,38.894919,-77.046587,38.898364,-77.027869,62,438,499,1,507
9100,1041,05/24/2012,7:40:00 AM,38.91554,-77.03818,38.897222,-77.019347,406,474,587,1,679
9200,847,05/24/2012,7:59:00 AM,38.920669,-77.04368,38.8963,-77.045,283,750,559,1,629
9300,373,05/24/2012,8:17:00 AM,38.900283,-77.029822,38.8952,-77.0436,73,720,242,0,330
9400,395,05/24/2012,8:32:00 AM,38.894832,-76.987633,38.896999,-77.004962,275,486,242,0,397
9500,249,05/24/2012,8:45:00 AM,38.934,-77.0725,38.934267,-77.057979,547,282,242,0,288
9600,290,05/24/2012,9:02:00 AM,38.90985,-77.034438,38.9101,-77.0444,98,378,242,0,194
9700,255,05/24/2012,9:20:00 AM,38.91554,-77.03818,38.9101,-77.0444,684,0,0,-1,193
9800,530,05/24/2012,9:51:00 AM,38.88412,-77.017445,38.897446,-77.009888,328,906,538,1,424
9900,573,05/24/2012,10:57:00 AM,38.905126,-77.056887,38.9003,-77.0429,309,294,242,0,290
10000,307,05/24/2012,12:09:00 PM,38.894919,-77.046587,38.903407,-77.043648,207,480,241,-1,275
10100,330,05/24/2012,12:57:00 PM,38.904742,-77.041606,38.903827,-77.053485,343,408,242,0,279
10200,250,05/24/2012,1:44:00 PM,38.90276,-77.03863,38.89968,-77.041539,438,0,0,-1,157
10300,324,05/24/2012,2:40:00 PM,38.9154,-77.0446,38.922925,-77.042581,207,258,242,0,197
10400,422,05/24/2012,3:36:00 PM,38.906602,-77.038785,38.917761,-77.04062,568,456,242,0,318
10500,498,05/24/2012,4:13:00 PM,38.90985,-77.034438,38.9172,-77.0259,476,270,242,0,308
10600,976,05/24/2012,4:45:00 PM,38.887237,-77.028226,38.9054,-77.0471,92,648,487,1,737
10700,501,05/24/2012,5:10:00 PM,38.8991,-77.0337,38.90304,-77.019027,464,294,242,0,313
10800,1639,05/24/2012,5:23:00 PM,38.902061,-77.038322,38.890461,-76.988355,369,1158,683,1,1109
10900,746,05/24/2012,5:36:00 PM,38.884,-76.995397,38.894832,-76.987633,573,360,242,0,366
11000,222,05/24/2012,5:49:00 PM,38.896999,-77.004962,38.900384,-76.99831,713,0,0,-1,242
11100,1454,05/24/2012,6:03:00 PM,38.9003,-77.0429,38.890461,-76.988355,1210,702,242,0,1144
11200,121,05/24/2012,6:18:00 PM,38.929464,-77.027822,38.9308,-77.0315,406,0,0,-1,110
11300,991,05/24/2012,6:32:00 PM,38.897446,-77.009888,38.929464,-77.027822,229,1278,998,1,903
11400,1390,05/24/2012,6:48:00 PM,38.8573,-77.0511,38.897222,-77.019347,337,690,242,0,1733
11500,275,05/24/2012,7:11:00 PM,38.897446,-77.009888,38.90304,-77.019027,229,342,242,0,258
11600,263,05/24/2012,7:32:00 PM,38.884,-76.995397,38.890461,-76.988355,919,0,0,-1,254
11700,568,05/24/2012,7:54:00 PM,38.884,-76.995397,38.9003,-76.9882,187,564,654,1,454
11800,442,05/24/2012,8:25:00 PM,38.889955,-77.000349,38.900384,-76.99831,1034,0,0,-1,329
11900,301,05/24/2012,9:01:00 PM,38.884,-76.995397,38.890461,-76.988355,919,0,0,-1,254
12000,514,05/24/2012,10:07:00 PM,38.9003,-77.016,38.9003,-76.9882,213,444,242,0,506
12100,385,05/24/2012,11:27:00 PM,38.9059,-77.0325,38.9121,-77.0387,798,0,0,-1,250
12200,502,05/25/2012,6:26:00 AM,38.897446,-77.009888,38.887237,-77.028226,590,498,242,0,546
12300,621,05/25/2012,7:21:00 AM,38.922925,-77.042581,38.9008,-77.047,351,600,242,0,543
12400,171,05/25/2012,7:47:00 AM,38.884,-76.995397,38.8792,-76.9953,454,0,0,-1,124
12500,490,05/25/2012,8:07:00 AM,38.894832,-76.987633,38.896999,-77.004962,275,486,242,0,397
12600,1478,05/25/2012,8:22:00 AM,38.932514,-76.992889,38.8851,-77.0023,673,1182,542,0,1235
12700,406,05/25/2012,8:36:00 AM,38.91554,-77.03818,38.9054,-77.0471,449,294,242,0,315
12800,337,05/25/2012,8:47:00 AM,38.897446,-77.009888,38.897324,-77.022322,373,384,242,0,307
12900,602,05/25/2012,8:58:00 AM,38.9236,-77.0501,38.9008,-77.047,357,768,242,0,586
13000,519,05/25/2012,9:15:00 AM,38.9121,-77.0387,38.9008,-77.047,481,408,242,0,404
13100,199,05/25/2012,9:43:00 AM,38.88732,-76.983569,38.8803,-76.9862,722,0,0,-1,253
13200,336,05/25/2012,10:28:00 AM,38.904742,-77.041606,38.90985,-77.034438,769,0,0,-1,245
13300,561,05/25/2012,11:25:00 AM,38.904742,-77.041606,38.904036,-77.062697,433,678,242,0,431
13400,532,05/25/2012,12:01:00 PM,38.897446,-77.009888,38.900283,-77.029822,143,696,242,0,414
13500,216,05/25/2012,12:33:00 PM,38.889955,-77.000349,38.896999,-77.004962,829,0,0,-1,237
13600,2913,05/25/2012,1:02:00 PM,38.8946,-77.072305,38.893028,-77.026013,1063,972,242,0,1193
13700,742,05/25/2012,1:32:00 PM,38.8997,-77.023086,38.90985,-77.034438,207,780,578,0,407
13800,396,05/25/2012,2:02:00 PM,38.9057,-77.0056,38.896999,-77.004962,990,0,0,-1,300
13900,1261,05/25/2012,2:33:00 PM,38.8963,-77.045,38.934267,-77.057979,1088,330,242,0,978
14000,799,05/25/2012,3:09:00 PM,38.90304,-77.019027,38.902061,-77.038322,219,648,243,0,397
14100,708,05/25/2012,3:37:00 PM,38.8851,-77.0023,38.897446,-77.009888,533,390,242,0,444
14200,1606,05/25/2012,4:01:00 PM,38.886266,-77.022241,38.905126,-77.056887,252,780,727,1,908
14300,601,05/25/2012,4:21:00 PM,38.9003,-76.9882,38.884,-76.995397,568,564,242,0,465
14400,1560,05/25/2012,4:44:00 PM,38.9346,-76.9955,38.890461,-76.988355,474,1428,711,1,1399
14500,635,05/25/2012,5:02:00 PM,38.884,-76.9861,38.896999,-77.004962,403,1020,500,0,552
14600,1478,05/25/2012,5:17:00 PM,38.897446,-77.009888,38.897315,-77.070993,699,1104,1230,1,1732
14700,1013,05/25/2012,5:30:00 PM,38.878925,-77.024016,38.88732,-76.983569,953,762,242,0,876
14800,843,05/25/2012,5:41:00 PM,38.904742,-77.041606,38.9268,-77.0322,420,690,506,0,584
14900,2991,05/25/2012,5:52:00 PM,38.893028,-77.026013,38.8923,-77.0436,46,570,242,0,373
15000,521,05/25/2012,6:04:00 PM,38.897446,-77.009888,38.9126,-77.0135,419,492,242,0,442
15100,663,05/25/2012,6:17:00 PM,38.920669,-77.04368,38.9008,-77.047,340,540,242,0,489
15200,447,05/25/2012,6:31:00 PM,38.9059,-77.0325,38.917761,-77.04062,654,456,242,0,404
15300,362,05/25/2012,6:47:00 PM,38.886952,-76.996806,38.896999,-77.004962,289,786,242,0,370
15400,463,05/25/2012,7:04:00 PM,38.894919,-77.046587,38.902061,-77.038322,141,480,242,-1,321
15500,711,05/25/2012,7:21:00 PM,38.894919,-77.046587,38.878925,-77.024016,748,738,517,1,673
15600,1540,05/25/2012,7:45:00 PM,38.9101,-77.0444,38.8767,-77.0178,398,606,626,0,1078
15700,462,05/25/2012,8:10:00 PM,38.917761,-77.04062,38.9086,-77.0323,716,246,242,0,381
15800,1169,05/25/2012,8:46:00 PM,38.900283,-77.029822,38.9375,-77.0328,235,1482,242,0,912
15900,238,05/25/2012,9:27:00 PM,38.90572,-77.022264,38.9155,-77.0222,312,120,242,0,265
16000,427,05/25/2012,10:04:00 PM,38.88732,-76.983569,38.9003,-76.9882,598,192,242,0,380
16100,622,05/25/2012,10:50:00 PM,38.894919,-77.046587,38.906602,-77.038785,206,390,505,-1,435
16200,953,05/25/2012,11:50:00 PM,38.897324,-77.022322,38.91554,-77.03818,778,300,242,0,718
